105, 314,
103, 312,
101, 309,
99, 307,
98, 304,
96, 300,
95, 297,
94, 295,
94, 291,
93, 288,
93, 285,
93, 282,
93, 280,
93, 278,
93, 276,
92, 274,
92, 269,
92, 267,
91, 264,
91, 262,
92, 258,
93, 255,
93, 253,
94, 248,
93, 246,
93, 243,
93, 240,
93, 237,
94, 233,
94, 231,
95, 228,
95, 226,
95, 225,
96, 223,
96, 219,
96, 217,
97, 215,
97, 213,
98, 211,
98, 209,
99, 206,
101, 204,
101, 201,
102, 200,
102, 199,
104, 196,
105, 192,
106, 192,
107, 191,
107, 189,
109, 187,
109, 185,
110, 182,
111, 181,
112, 179,
114, 176,
116, 174,
117, 172,
120, 166,
122, 164,
123, 161,
125, 160,
127, 155,
131, 153,
132, 152,
133, 151,
135, 150,
137, 148,
139, 146,
140, 146,
144, 144,
143, 145,
145, 143,
146, 142,
148, 140,
151, 139,
154, 138,
155, 137,
156, 136,
159, 134,
161, 133,
163, 132,
167, 130,
170, 127,
171, 127,
173, 126,
175, 124,
178, 122,
181, 122,
183, 122,
186, 120,
187, 120,
188, 119,
192, 118,
195, 118,
199, 118,
200, 118,
202, 118,
204, 118,
208, 118,
209, 118,
210, 118,
211, 118,
213, 118,
216, 117,
222, 117,
223, 117,
224, 117,
227, 118,
229, 118,
232, 119,
235, 119,
237, 119,
240, 117,
242, 118,
245, 120,
249, 120,
251, 121,
252, 121,
255, 121,
256, 121,
259, 122,
260, 123,
261, 123,
263, 123,
266, 126,
268, 126,
269, 126,
270, 127,
272, 127,
274, 129,
276, 130,
280, 132,
282, 134,
283, 136,
287, 137,
289, 139,
289, 141,
292, 144,
295, 145,
296, 145,
297, 147,
299, 149,
301, 149,
303, 152,
306, 153,
310, 155,
311, 158,
313, 160,
313, 163,
316, 164,
319, 166,
320, 167,
323, 168,
324, 171,
326, 174,
327, 175,
328, 178,
329, 183,
330, 186,
330, 189,
331, 192,
332, 194,
333, 196,
333, 198,
334, 200,
335, 203,
336, 204,
336, 206,
338, 207,
338, 208,
340, 212,
340, 217,
341, 221,
341, 224,
342, 228,
342, 232,
342, 235,
340, 241,
340, 244,
340, 248,
338, 251,
338, 252,
338, 255,
337, 261,
336, 264,
336, 267,
336, 270,
335, 272,
335, 275,
334, 277,
332, 281,
331, 286,
329, 290,
327, 296,
326, 299,
324, 305,
322, 310,
321, 310,
320, 311,
320, 313,
316, 318,
315, 322,
313, 324,
310, 327,
308, 331,
305, 335,
300, 338
